Country,Capital Move Year,Y+1,Y+2,Y+3,Y+4,Y+5
Brazil,1960,,,,,
Kazakhstan,1997,22135245507.3656,16870817181.7799,18291990662.0356,22152689179.8815,24636598527.4437
Malaysia,1999,93789736842.1053,92783947368.4211,100845526315.789,110202368421.053,124749473684.211
Nigeria,1991,52058181853.8055,56721051402.4732,80399613063.6364,140919776986.364,185730236700.0
Pakistan,1963,5204955900.88198,5929231415.37169,6561108777.82444,7464510709.7858,8041999160.0168
